is_success,repo_count,avg_pre_events,avg_pre_stars,avg_push_share,avg_watch_share,avg_pr_share,avg_issues_share,avg_fork_share,avg_create_share
0,7570076,12.29,0.77,0.3744,0.0706,0.0397,0.006,0.0169,0.4924
1,39,284.77,84.82,0.3254,0.411,0.0825,0.0654,0.0479,0.0678

